CultCode,제목,장소,startDate,startTime,EndDate,EndTime,지하철
148457,[은평문화재단] 2024. 신진 청년작가 공모 지원사업 [사이],은평문화예술회관 전시실(B1),2024-08-02,10:00,2024-10-15,18:00,"""불광역"", ""녹번역"", ""역촌역"""
149253,청일전쟁 130년 · 러일전쟁 120년 기획전시 [한반도 운명을 바꾼 그들의 전쟁],식민지역사박물관 1층 돌모루홀,2024-08-02,10:30,2024-12-29,18:00,"""숙대입구역"", ""남영역"", ""효창공원역"""
147881,[양천문화재단] 바다탐험대 옥토넛 시즌3 ‘바다넘어 육지까지’,양천문화회관 대극장,2024-08-02,11:00,2024-08-04,14:00,"""양천구청역"""
148466,[서울 문화의 밤] 재즈콘서트 [상흠 재즈 트리오],한성백제박물관 로비,2024-08-02,19:00,2024-08-02,20:00,"""한성백제역"", ""몽촌토성역"", ""올림픽공원역"""
148464,2024년 야간 공연 관람권_[역사시비 8월 후-하!],예술공간 혜화,2024-08-02,19:30,2024-08-02,,"""혜화역"""
148500,2024 한강페스티벌 여름축제 [한강썸머뮤직피크닉],여의도한강공원 물빛무대,2024-08-02,19:30,2024-08-03,21:30,"""샛강역"", ""여의도역"""
147519,[강동문화재단] 2024. 아시테지 in 강동 [문제적 핑크],강동아트센터 소극장 드림,2024-08-02,19:30,2024-08-03,13:00,"""고덕역"""
148677,[세종문화회관] 아뜰리에광화 : 2024 광장으로의 초대,세종문화회관 외벽 미디어 갤러리,2024-08-02,20:00,2024-12-08,23:00,"""광화문역"", ""경복궁역"""
148558,[성동문화재단] 기억의 색 노랑,소월전시실,2024-08-03,10:00,2024-08-14,18:00,"""왕십리역"""
148184,[성동문화재단] 어린이 물놀이 축제 2024 성동왕국,왕십리광장 (남측),2024-08-03,11:00,2024-08-03,18:00,
148460,"[스페이스 아텔] Hey,No",아텔 내부,2024-08-03,11:00,2024-08-07,19:00,"""성신여대입구역"""
148120,[종로문화재단] 이상한 북콘서트,어린이청소년 국학도서관 국학도서관 열람실,2024-08-03,14:00,2024-08-03,15:30,"""혜화역"""
148210,[강북문화재단] 2024 강북Festa 공연 (8월 매주 토요일 5팀),강북문화예술회관 강북진달래홀,2024-08-03,15:00,2024-07-31,,"""수유역"""
148164,프렌즈 오브 뮤직 [청소년 음악회],꿈의숲 콘서트홀,2024-08-03,15:00,2024-08-03,,
148065,[강서문화원] VIVA 컨템포디보,강서아트리움 아리홀,2024-08-03,15:00,2024-08-03,,"""화곡역"""
147998,[세종문화회관] 해설이 있는 청소년음악회 감탄사 시리즈 1,세종체임버홀,2024-08-03,15:00,2024-08-03,,"""광화문역"", ""경복궁역"""
148249,[송파문화재단] 2024 송파문화예술활성화 지원사업 선정작 [공존 Co- Existence],석촌호수아뜰리에,2024-08-03,16:00,2024-08-03,,"""석촌고분역"""
148205,[강동문화재단] KT&G장학재단과 함께하는 BALLET SHOWING Ⅳ,대극장 한강,2024-08-03,17:00,2024-08-03,,"""구일역"""
148148,[서초문화재단] [2024 클래식다방 - 르네뮤직홀] 무용X음악 매혹적인 콜라보,르네뮤직홀,2024-08-03,17:00,2024-08-03,18:00,
148566,[서울생활문화센터 체부] 2024 생활문화콘서트 10회차 운영,서울생활문화센터 체부 체부홀,2024-08-04,16:00,2024-08-04,,"""경복궁역"""
148325,[송파문화재단] 그림책으로 잇는 가족 음악회: 돌랑돌랑 여름,석촌호수 아뜰리에,2024-08-04,19:00,2024-08-04,,"""석촌고분역"""
148458,[강서아트리움] 2024 Summer Salon 展,강서아트리움 갤러리서 (1층),2024-08-05,10:00,2024-08-23,18:00,"""화곡역"""
147939,[세종문화회관] 피아노 듀오 아브릴 리사이틀,세종체임버홀,2024-08-05,19:30,2024-08-05,,"""광화문역"", ""경복궁역"""
148177,문화가 흐르는 예술섬 노들 [케이팝 특별주간],노들섬,2024-08-06,,2024-08-11,,"""용산역"", ""신용산역"", ""노들역"""
148640,[운현궁] 2024 하우스뮤지엄 [칠진만보(漆珍萬寶] 展,운현궁 노락당,2024-08-06,10:00,2024-08-11,18:00,"""안국역"""
148682,[세종문화회관] 모은영 캘리그라피 작가그룹전 [푸름이 깃든],세종이야기전시장,2024-08-06,10:00,2024-08-25,18:30,"""광화문역"""
148610,[서울시립미술관] 천경자 탄생 100주년 기념 [영혼을 울리는 바람을 향하여],서울시립미술관 서소문본관 2층 천경자컬렉션전시실,2024-08-06,10:00,2025-08-05,20:00,"""시청역"", ""서대문역"", ""광화문역"""
148188,2024 밤의 수문장,덕수궁 일원,2024-08-06,18:00,2024-08-31,21:00,"""서대문역"", ""시청역"""
147789,[세종문화회관] 김윤경 바이올린 독주회,세종체임버홀,2024-08-06,19:30,2024-08-06,,"""광화문역"", ""경복궁역"""
147600,"[강동문화재단] 마티네 콘서트 [낭만드림] 8월, 낭만을 담아",대극장 한강,2024-08-07,,2024-08-07,,
148214,[세종문화회관] 국제각자예술대전 「SEOUL2024」,"세종문화회관 세종미술관 1,2관",2024-08-07,10:00,2024-08-12,20:00,"""광화문역"", ""경복궁역"""
148477,2024 코리아나미술관 기획전 [불안 해방 일지],코리아나미술관,2024-08-07,11:00,2024-11-23,18:30,"""압구정역"""
148526,[서초문화재단] 서리풀 오후의 실내악 「우정의 삼각형」,반포심산아트홀,2024-08-07,15:00,2024-08-07,,
148609,2024 문화가 흐르는 서울광장 8월,서울광장,2024-08-07,18:30,2024-08-28,,"""시청역"""
148080,[서울돈화문국악당] 내일을 위한 음악,서울돈화문국악당,2024-08-07,19:30,2024-08-07,,"""안국역"""
144993,[세종문화회관] 한여름의 메시아,세종체임버홀,2024-08-08,,2024-08-09,,"""광화문역"", ""경복궁역"""
148360,"[서울시립미술관] 격변의 시대, 여성 삶 예술",서울시립미술관 서소문본관,2024-08-08,10:00,2024-11-17,20:00,"""시청역"", ""서대문역"", ""광화문역"""
148669,[서울시립미술관 SeMA벙커] 2024 신진미술인 지원 프로그램 [업체 eobchae 개인전 『롤라 롤즈』],SeMA 벙커 B1 전시실,2024-08-08,11:00,2024-08-30,19:00,"""여의도역"""
148371,[서리풀청년아트갤러리] 8월 기획전시 [털요정],서리풀청년아트갤러리,2024-08-08,11:00,2024-09-01,22:00,"""남부터미널역"""
